plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,hazard_gfdl_esm4_aged,hazard_miroc6_aged
BRA-01887d9a902b,pes,ssp585,Brazil,Lorena Telefonica Brasil solar project,-22.7368,-45.1071,solar,4.0,2023.0,0.0401750805920942,0.1171899239925116,27.0,1.1727634601725492,False,0.04711586652789542,0.13743606075881595
BRA-018e187f39d1,bau,ssp370,Brazil,Artur Nogueira Consorcio Axs Energia Unidade 06 solar project,-22.54,-47.17,solar,1.0,2024.0,0.0217989056234616,0.4737278768850719,26.0,1.1669319840609758,False,0.025437840189544005,0.5528082112784906
BRA-018e187f39d1,opt,ssp126,Brazil,Artur Nogueira Consorcio Axs Energia Unidade 06 solar project,-22.54,-47.17,solar,1.0,2024.0,0.0425266339668329,0.4406441132679621,26.0,1.1669319840609758,False,0.0496256893503512,0.5142017093605723
BRA-018e187f39d1,pes,ssp585,Brazil,Artur Nogueira Consorcio Axs Energia Unidade 06 solar project,-22.54,-47.17,solar,1.0,2024.0,0.0699995764369924,0.5287490591592903,26.0,1.1669319840609758,False,0.08168474461504746,0.6170141886751248
BRA-019d4d3cb1c2,bau,ssp370,Brazil,São Pedro E Paulo solar farm,-7.8956,-37.9446,solar,23.1,2024.0,0.0264699499045546,0.8989364299944168,26.0,1.1669319840609758,False,0.030888631160116538,1.0489976717980753
BRA-019d4d3cb1c2,opt,ssp126,Brazil,São Pedro E Paulo solar farm,-7.8956,-37.9446,solar,23.1,2024.0,0.0,0.8818626636519904,26.0,1.1669319840609758,False,0.0,1.029073747764714
BRA-019d4d3cb1c2,pes,ssp585,Brazil,São Pedro E Paulo solar farm,-7.8956,-37.9446,solar,23.1,2024.0,0.0140917505549057,0.8958961945323124,26.0,1.1669319840609758,False,0.016444114433928465,1.0454499237982693
BRA-01a728730b51,bau,ssp370,Brazil,Baía Formosa power station,-6.4161,-35.0557,thermal,40.0,2011.0,0.1164030273797136,0.2538267027686059,39.0,1.0,False,0.1164030273797136,0.2538267027686059
BRA-01a728730b51,opt,ssp126,Brazil,Baía Formosa power station,-6.4161,-35.0557,thermal,40.0,2011.0,0.201097659870797,0.2119177391057816,39.0,1.0,False,0.201097659870797,0.2119177391057816
BRA-01a728730b51,pes,ssp585,Brazil,Baía Formosa power station,-6.4161,-35.0557,thermal,40.0,2011.0,0.1466304040986643,0.3181134284471105,39.0,1.0,False,0.1466304040986643,0.3181134284471105
